"","STAT_ID","duration","Continent","HCO3_avg","HCO3_dif","HCO3_slope","HCO3_rc","sc","sm","Shape_Area","carbonate","sedimentary","slope","annual_runoff"
"101",100351,0.3,"North America",1760.1625,78.6670000000001,290.0348989899,4.57145945355408,0,0,31188480.16,"low carbonate","low sedimentary","augmented",524
"102",100352,0.3,"North America",481.832,-147.5,-427.281746031746,-26.5487362801531,0,0,246917300.18,"low carbonate","low sedimentary","diminished",547.38
"103",100354,0.4,"North America",1198.844,-158.972,-442.937251908397,-12.4359124795632,0,0,32798392.39,"low carbonate","low sedimentary","diminished",526
"104",100356,0.3,"North America",1005.4555,-27.861,-91.615,-2.73311581677598,0.000698113193732713,0,49143576.45,"low carbonate","low sedimentary","diminished",525.26
"105",100357,0.3,"North America",1375.8435,-168.805,-560.125681818182,-11.5600385140586,0.01,0,551768240.65,"low carbonate","low sedimentary","diminished",525.61
"106",100360,0.3,"North America",1396.33,-26.222,-75.9605555555555,-1.860453896261,0.00481461483702914,0,59508983.92,"low carbonate","low sedimentary","diminished",526
"107",100363,0.3,"North America",505.596,132.75,428.794247787611,30.2239647011413,0,0.00111445630992831,927270815.94,"low carbonate","low sedimentary","augmented",737.54
"108",100368,0.3,"North America",2978.6735,680.137,2140.08625,25.7763856280118,0.42,0,40365127.52,"low carbonate","low sedimentary","augmented",480.56
"109",100369,0.4,"North America",521.1655,157.333,438.370572519084,35.555560577538,0,0,54713591.7,"low carbonate","low sedimentary","augmented",473
"110",100372,0.3,"North America",1782.287,893.192,2885.08920353982,66.8711550800297,0.18,0.000345597825558888,2990188986.77,"low carbonate","low sedimentary","augmented",605.02
"111",100373,0.4,"North America",660.4705,206.499,542.245575539568,37.0587253531364,0,0,33851741.79,"low carbonate","low sedimentary","augmented",473
"112",100375,0.4,"North America",1615.121,313.026,878.880692307693,21.4605980496473,0,0,44238048.47,"low carbonate","low sedimentary","augmented",524.82
"113",100376,0.3,"North America",1177.539,132.75,428.794247787611,11.9469313260689,0.02,0,722335048.33,"low carbonate","low sedimentary","augmented",503.64
"114",100377,0.3,"North America",1999.4395,294.999,854.560595238095,15.9291877706621,0,0,51135182.77,"low carbonate","low sedimentary","augmented",526
"115",100381,0.3,"North America",1307.83,-137.666,-405.226532258064,-9.9999782081744,0,0,43166056,"low carbonate","low sedimentary","diminished",494.6
"116",100383,0.3,"North America",1299.636,0,0,0,0,0,45664334.11,"low carbonate","low sedimentary","stayed the same",396
"117",100384,0.3,"North America",876.8035,49.1669999999999,144.725443548387,5.76928492642744,0,0,34273475.99,"low carbonate","low sedimentary","augmented",477.69
"118",100385,0.3,"North America",966.9425,98.3330000000001,309.409870689655,10.7142701487073,0,0,70560017.13,"low carbonate","low sedimentary","augmented",429.04
"119",100386,0.3,"North America",942.359,147.5,460.149572649573,16.9811733472713,0,0,46557576.73,"low carbonate","low sedimentary","augmented",449.56
"120",100389,0.3,"North America",844.026,114.722,348.946083333333,14.583335981644,0.05,0,33048078.73,"low carbonate","low sedimentary","augmented",484
"121",100390,0.3,"North America",1439.7605,280.249,811.832420634921,21.5636532075135,0.06,0,179169542.73,"low carbonate","low sedimentary","augmented",484
"122",100391,0.3,"North America",1515.9685,114.721,348.943041666667,7.86510152145059,0.02,0,13379838.46,"low carbonate","low sedimentary","augmented",484
"123",100392,0.4,"North America",962.845,122.916,339.881363636364,13.6363182517609,0.02,0,62225537.37,"low carbonate","low sedimentary","augmented",473
"124",100393,0.4,"North America",802.234,260.582,720.548712121212,38.7803727399497,0,0,86246688.55,"low carbonate","low sedimentary","augmented",473
"125",100394,0.3,"North America",1597.093,244.194,707.387380952381,16.5555703201907,0.2,0.02,42841604.29,"low carbonate","low sedimentary","augmented",476.92
